Timestamp,Label,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
304303.8372961,No Event,-36713.56640625,-25055.74609375,-25604.974609375,-10872.73828125,-18945.830078125,-26255.611328125,-34204.7421875,-33425.4921875
304303.8412961,No Event,-36686.58984375,-25060.1953125,-25758.798828125,-10777.0498046875,-18932.642578125,-26383.484375,-34185.0703125,-33398.9140625
304303.8452961,No Event,-36681.78125,-25063.056640625,-26079.880859375,-10703.84765625,-18895.986328125,-26346.6484375,-34177.0,-33391.16015625
304303.84929610003,No Event,-36713.6796875,-25064.396484375,-25983.970703125,-10640.7041015625,-18910.224609375,-26214.416015625,-34205.38671875,-33421.78125
304303.85329610005,No Event,-36717.63671875,-25059.12109375,-25631.68359375,-10513.5009765625,-18894.64453125,-26229.236328125,-34208.67578125,-33427.859375
304303.85729610006,No Event,-36684.15234375,-25055.658203125,-25702.806640625,-10385.4921875,-18860.22265625,-26363.345703125,-34181.671875,-33396.32421875
304303.8612961001,No Event,-36670.96484375,-25055.142578125,-26039.380859375,-10262.78125,-18836.91015625,-26361.53515625,-34172.53125,-33384.38671875
304303.8652961001,No Event,-36710.125,-25066.20703125,-26039.06640625,-10172.8154296875,-18846.3203125,-26237.05859375,-34207.4453125,-33423.7265625
304303.8692961001,No Event,-36724.8984375,-25060.59765625,-25676.544921875,-10034.9716796875,-18833.111328125,-26214.86328125,-34214.9765625,-33435.05859375
304303.87260229996,No Event,-36684.0390625,-25058.40625,-25985.154296875,-9753.787109375,-18765.048828125,-26379.05859375,-34171.45703125,-33394.7578125
304303.8732961001,No Event,-36700.828125,-25059.078125,-25655.533203125,-9871.1337890625,-18791.6484375,-26348.884765625,-34187.3046875,-33409.64453125
304303.8766023,No Event,-36700.515625,-25053.98046875,-26069.443359375,-9673.96875,-18755.908203125,-26249.77734375,-34187.93359375,-33412.23828125
304303.8806023,No Event,-36717.03125,-25044.01171875,-25708.796875,-9561.5625,-18736.283203125,-26184.21875,-34199.421875,-33426.5859375
304303.8846023,No Event,-36683.81640625,-25031.271484375,-25591.98828125,-9424.76953125,-18689.322265625,-26300.60546875,-34166.96484375,-33395.00390625
