Timestamp,Label,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
304482.8424654,No Event,-35548.68359375,-23641.619140625,-24128.91015625,-11557.4609375,-17291.17578125,-24547.513671875,-32967.7265625,-32955.3671875
304482.8464654,No Event,-35518.1953125,-23651.453125,-24133.08984375,-11513.3388671875,-17253.04296875,-24656.8125,-32931.62890625,-32922.35546875
304482.8504654,No Event,-35476.77734375,-23645.5078125,-24626.83984375,-11479.833984375,-17219.0234375,-24791.482421875,-32892.91796875,-32881.25
304482.85446540004,No Event,-35506.23828125,-23640.345703125,-24704.578125,-11514.0986328125,-17255.5234375,-24705.451171875,-32920.87890625,-32911.265625
304482.85846540006,No Event,-35545.53125,-23634.935546875,-24197.3046875,-11536.9873046875,-17286.4140625,-24547.400390625,-32956.77734375,-32949.2890625
304482.8624654001,No Event,-35522.9140625,-23644.994140625,-24074.19140625,-11506.208984375,-17258.720703125,-24621.138671875,-32936.14453125,-32923.31640625
304482.8664654001,No Event,-35477.91796875,-23645.6640625,-24544.583984375,-11477.7099609375,-17223.673828125,-24776.529296875,-32897.2734375,-32877.78515625
304482.8694489,No Event,-35467.61328125,-23636.6796875,-24456.2734375,-11485.4658203125,-17220.833984375,-24750.17578125,-32898.125,-32864.84375
304482.8704654001,No Event,-35490.79296875,-23638.578125,-24747.650390625,-11504.107421875,-17250.919921875,-24728.94140625,-32916.20703125,-32893.02734375
304482.8734489,No Event,-35476.17578125,-23635.71875,-24768.4375,-11502.2080078125,-17238.626953125,-24746.509765625,-32908.7421875,-32873.984375
304482.8744654001,No Event,-35534.2890625,-23633.392578125,-24290.78125,-11542.26171875,-17284.537109375,-24556.54296875,-32960.8203125,-32936.5234375
304482.8774489,No Event,-35533.55078125,-23637.685546875,-24400.37109375,-11544.0498046875,-17279.0390625,-24581.599609375,-32961.3125,-32932.12109375
304482.87846540014,No Event,-35517.63671875,-23635.71875,-24037.736328125,-11521.20703125,-17259.32421875,-24583.23046875,-32941.3984375,-32915.625
304482.88144890004,No Event,-35532.2109375,-23641.6640625,-24030.2265625,-11529.9013671875,-17268.376953125,-24565.7734375,-32957.15625,-32930.78125
304482.88544890005,No Event,-35473.5390625,-23643.33984375,-24375.158203125,-11500.4423828125,-17244.638671875,-24733.79296875,-32915.515625,-32875.16796875
304482.88944890007,No Event,-35467.3671875,-23643.80859375,-24778.65234375,-11504.8896484375,-17247.634765625,-24767.900390625,-32918.5546875,-32871.9296875
304482.8934489001,No Event,-35524.1640625,-23650.201171875,-24517.0703125,-11560.0986328125,-17302.529296875,-24612.6015625,-32977.25,-32931.921875
