Timestamp,Label,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
302919.1491028,No Event,-47880.85546875,-37871.85546875,-37760.96875,-19529.658203125,-27531.716796875,-40109.578125,-42790.6484375,-46688.6796875
302919.1531028,No Event,-47838.69921875,-37863.140625,-37884.39453125,-19478.896484375,-27492.556640625,-40215.3046875,-42750.75,-46643.6875
302919.15710280003,No Event,-47811.20703125,-37855.6953125,-38194.48046875,-19452.701171875,-27458.537109375,-40245.61328125,-42726.3203125,-46617.73828125
302919.16110280005,No Event,-47849.38671875,-37867.36328125,-38140.703125,-19504.69140625,-27512.046875,-40155.625,-42764.33984375,-46655.3984375
302919.16510280006,No Event,-47890.0859375,-37883.03125,-37813.25,-19539.11328125,-27557.533203125,-40115.7265625,-42806.921875,-46698.4921875
302919.1691028001,No Event,-47852.359375,-37869.53125,-37847.359375,-19500.0859375,-27517.142578125,-40207.03125,-42771.1796875,-46662.86328125
302919.1731028001,No Event,-47810.42578125,-37855.3828125,-38168.64453125,-19478.583984375,-27496.580078125,-40254.3984375,-42736.73828125,-46620.64453125
302919.1771028001,No Event,-47842.2109375,-37869.64453125,-38200.65234375,-19516.11328125,-27531.42578125,-40178.9140625,-42770.375,-46651.6875
302919.1811028001,No Event,-47890.6015625,-37887.90625,-37867.69921875,-19571.724609375,-27572.93359375,-40117.71484375,-42819.99609375,-46701.15234375
302919.18510280014,No Event,-47869.5,-37885.3125,-37823.0859375,-19552.388671875,-27540.3671875,-40199.56640625,-42802.00390625,-46681.21484375
302919.19049159996,No Event,-47827.6796875,-37875.1875,-38140.32421875,-19525.166015625,-27525.2578125,-40272.859375,-42765.546875,-46637.453125
302919.1944916,No Event,-47842.03125,-37878.765625,-38256.28515625,-19560.4140625,-27558.873046875,-40215.01171875,-42783.00390625,-46650.48046875
302919.1984916,No Event,-47889.6640625,-37891.34765625,-37941.28125,-19607.419921875,-27615.490234375,-40133.33984375,-42830.5703125,-46698.89453125
302919.2024916,No Event,-47873.01171875,-37883.75,-37805.5625,-19586.990234375,-27585.8515625,-40185.53125,-42813.8046875,-46680.12109375
302919.2064916,No Event,-47831.28125,-37877.1328125,-38098.97265625,-19555.876953125,-27546.447265625,-40277.95703125,-42780.234375,-46639.6875
302919.21049160004,No Event,-47834.56640625,-37874.26953125,-38277.9453125,-19567.611328125,-27567.0546875,-40237.3203125,-42784.8359375,-46643.73046875
302919.21449160005,No Event,-47882.98046875,-37884.46484375,-38000.35546875,-19602.345703125,-27606.28125,-40136.66796875,-42829.453125,-46691.41015625
302919.21849160007,No Event,-47888.45703125,-37887.97265625,-37792.30859375,-19618.05859375,-27609.724609375,-40169.3046875,-42829.875,-46694.3359375
302919.2224916001,No Event,-47831.94921875,-37865.28515625,-38029.37109375,-19571.634765625,-27561.421875,-40258.26171875,-42772.92578125,-46631.125
302919.22261379997,No Event,-47887.515625,-37888.1953125,-38068.91015625,-19626.93359375,-27624.54296875,-40147.33203125,-42829.3828125,-46687.6328125
302919.2264916001,No Event,-47822.09375,-37862.08984375,-38272.9140625,-19573.01953125,-27570.294921875,-40240.31640625,-42770.28515625,-46622.36328125
302919.2266138,No Event,-47904.97265625,-37894.90234375,-37800.80078125,-19634.46484375,-27621.033203125,-40157.43359375,-42841.6328125,-46704.91015625
302919.2306138,No Event,-47850.8828125,-37870.8515625,-37972.0390625,-19576.708984375,-27554.470703125,-40252.00390625,-42783.51953125,-46649.453125
302919.2346138,No Event,-47835.68359375,-37869.109375,-38257.26953125,-19570.740234375,-27548.099609375,-40258.98046875,-42767.8046875,-46634.546875
302919.23861380003,No Event,-47884.38671875,-37892.7109375,-38127.11328125,-19606.681640625,-27603.533203125,-40167.42578125,-42818.34375,-46689.8203125
302919.24261380004,No Event,-47903.609375,-37895.59375,-37812.265625,-19601.162109375,-27612.138671875,-40148.00390625,-42833.67578125,-46711.390625
302919.24661380006,No Event,-47856.9609375,-37879.27734375,-37911.59765625,-19561.755859375,-27552.59375,-40237.90234375,-42791.25390625,-46663.828125
302919.2506138001,No Event,-47826.33984375,-37871.140625,-38228.30078125,-19556.2109375,-27539.115234375,-40266.69140625,-42764.4296875,-46630.9921875
302919.2546138001,No Event,-47858.796875,-37880.5078125,-38179.28125,-19595.529296875,-27586.61328125,-40172.5,-42794.94140625,-46664.25
302919.2586138001,No Event,-47903.74609375,-37899.9296875,-37846.95703125,-19619.35546875,-27613.076171875,-40133.05078125,-42836.359375,-46710.71875
302919.2628966,No Event,-47878.44140625,-37895.73046875,-37877.9609375,-19587.4140625,-27584.845703125,-40231.375,-42808.1484375,-46682.71484375
302919.2668966,No Event,-47840.46875,-37884.84375,-38204.25,-19548.880859375,-27553.353515625,-40286.0234375,-42771.0703125,-46641.609375
302919.27089660004,No Event,-47868.85546875,-37891.83984375,-38237.30859375,-19571.208984375,-27580.599609375,-40207.19140625,-42798.42578125,-46668.296875
302919.27489660005,No Event,-47921.06640625,-37909.09375,-37898.859375,-19595.416015625,-27618.3515625,-40141.2734375,-42846.59375,-46720.53125
302919.27889660007,No Event,-47888.09765625,-37896.421875,-37839.0234375,-19566.962890625,-27577.359375,-40210.51953125,-42815.4140625,-46687.5859375
302919.2828966001,No Event,-47834.96875,-37875.45703125,-38143.1640625,-19547.96484375,-27540.12109375,-40273.26171875,-42769.70703125,-46634.5
302919.2868966001,No Event,-47853.36328125,-37882.49609375,-38267.953125,-19583.861328125,-27568.171875,-40216.51171875,-42791.74609375,-46652.984375
302919.2908966001,No Event,-47904.16796875,-37896.01953125,-37954.625,-19621.30078125,-27602.7734375,-40131.39453125,-42838.59375,-46702.40625
302919.2948966001,No Event,-47890.37890625,-37888.26171875,-37805.65234375,-19593.13671875,-27570.2734375,-40181.1953125,-42821.31640625,-46686.625
302919.29862799996,No Event,-47835.796875,-37866.91796875,-38269.7421875,-19535.4921875,-27533.861328125,-40217.76171875,-42766.46484375,-46633.94140625
302919.29889660014,No Event,-47831.390625,-37864.59375,-38079.4140625,-19537.01171875,-27523.580078125,-40262.12890625,-42762.95703125,-46631.08203125
302919.302628,No Event,-47893.28515625,-37886.1171875,-38002.03515625,-19583.681640625,-27591.3515625,-40126.5,-42821.62890625,-46694.8515625
302919.306628,No Event,-47892.0546875,-37883.8828125,-37785.53515625,-19575.58984375,-27594.927734375,-40155.01953125,-42822.0078125,-46696.48046875
302919.310628,No Event,-47836.28515625,-37863.140625,-38018.4609375,-19530.865234375,-27539.80859375,-40249.45703125,-42770.98046875,-46639.84375
302919.314628,No Event,-47833.8515625,-37867.98828125,-38272.46875,-19539.73828125,-27527.224609375,-40241.34375,-42772.9453125,-46637.67578125
302919.31862800004,No Event,-47888.5234375,-37887.859375,-38073.22265625,-19605.54296875,-27588.466796875,-40144.4921875,-42826.9921875,-46693.75390625
302919.32262800005,No Event,-47906.29296875,-37897.31640625,-37796.26171875,-19608.068359375,-27602.75,-40151.30859375,-42843.375,-46713.78125
302919.32662800007,No Event,-47844.0,-37872.39453125,-37964.01171875,-19537.705078125,-27545.8203125,-40246.91015625,-42783.453125,-46652.13671875
302919.3306280001,No Event,-47819.58984375,-37859.80859375,-38251.0078125,-19509.630859375,-27535.583984375,-40250.73046875,-42761.32421875,-46628.84765625
302919.330951,No Event,-47881.8828125,-37874.33984375,-37799.796875,-19594.74609375,-27588.580078125,-40120.75390625,-42824.421875,-46695.34375
302919.3346280001,No Event,-47861.4765625,-37870.8046875,-38124.74609375,-19574.517578125,-27580.623046875,-40151.04296875,-42804.53125,-46671.828125
302919.334951,No Event,-47823.390625,-37867.38671875,-38223.26953125,-19538.755859375,-27539.115234375,-40264.96875,-42770.265625,-46630.56640625
302919.338951,No Event,-47918.69921875,-37903.796875,-37856.74609375,-19620.25,-27625.90625,-40146.50390625,-42854.171875,-46724.53515625
302919.342951,No Event,-47877.125,-37884.44140625,-37865.578125,-19568.86328125,-27572.12890625,-40226.97265625,-42812.0390625,-46680.87890625
302919.34695100004,No Event,-47837.2265625,-37872.1015625,-38182.94921875,-19523.443359375,-27529.5703125,-40276.234375,-42774.2421875,-46636.84765625
302919.35095100006,No Event,-47859.4453125,-37876.41796875,-38230.4921875,-19558.3125,-27563.2109375,-40199.72265625,-42796.5703125,-46662.91015625
302919.3549510001,No Event,-47900.48046875,-37883.66015625,-37892.2421875,-19594.56640625,-27594.435546875,-40127.34765625,-42833.18359375,-46706.80859375
302919.3589510001,No Event,-47876.87890625,-37877.9375,-37820.29296875,-19562.359375,-27561.064453125,-40198.5859375,-42811.01171875,-46682.04296875
302919.3629510001,No Event,-47828.0625,-37863.07421875,-38125.01171875,-19529.30078125,-27527.357421875,-40270.0859375,-42767.91796875,-46634.390625
302919.36428489996,No Event,-47901.6640625,-37889.58203125,-37956.14453125,-19596.98046875,-27606.013671875,-40134.92578125,-42839.578125,-46709.6484375
302919.3669510001,No Event,-47853.65625,-37879.58984375,-38262.8125,-19561.0390625,-27568.306640625,-40223.39453125,-42794.9609375,-46660.609375
302919.3682849,No Event,-47885.1015625,-37881.87109375,-37798.921875,-19566.5390625,-27586.65625,-40177.84375,-42823.640625,-46692.16796875
302919.3722849,No Event,-47837.359375,-37871.09765625,-38078.20703125,-19535.849609375,-27541.796875,-40270.17578125,-42777.75390625,-46643.62109375
302919.3762849,No Event,-47842.43359375,-37872.7734375,-38279.328125,-19552.76953125,-27540.09765625,-40240.71875,-42781.10546875,-46647.28515625
302919.3802849,No Event,-47904.75,-37892.62109375,-38020.0703125,-19605.498046875,-27592.826171875,-40147.0625,-42835.171875,-46709.87109375
302919.38428490004,No Event,-47900.4140625,-37886.4765625,-37788.12890625,-19584.017578125,-27578.6328125,-40167.0234375,-42823.83984375,-46704.3515625
